Start,End,Speaker,Start in s,End in s,Duration in s
0:00:00.365025,0:00:02.945671,SPEAKER_01,0.36502546689303905,2.9456706281833616,2.5806451612903225
0:00:03.166384,0:00:03.641766,SPEAKER_01,3.166383701188455,3.641765704584041,0.4753820033955858
0:00:03.879457,0:00:08.157895,SPEAKER_01,3.8794567062818337,8.157894736842106,4.278438030560272
0:00:08.684211,0:00:15.169779,SPEAKER_01,8.68421052631579,15.169779286926996,6.485568760611207
0:00:15.848896,0:00:22.351443,SPEAKER_01,15.848896434634975,22.35144312393888,6.5025466893039034
0:00:20.246180,0:00:20.619694,SPEAKER_00,20.246179966044146,20.61969439728353,0.37351443123938566
0:00:22.792869,0:00:28.938879,SPEAKER_01,22.792869269949065,28.93887945670628,6.146010186757216
0:00:29.312394,0:00:31.876061,SPEAKER_01,29.312393887945674,31.876061120543298,2.5636672325976235
0:00:32.504244,0:00:33.913413,SPEAKER_00,32.50424448217318,33.91341256366723,1.4091680814940517
0:00:34.202037,0:00:36.188455,SPEAKER_00,34.202037351443124,36.188455008488965,1.9864176570458412
0:00:36.511036,0:00:38.633277,SPEAKER_00,36.511035653650254,38.63327674023769,2.1222410865874366
0:00:39.040747,0:00:44.558574,SPEAKER_00,39.04074702886248,44.55857385398981,5.517826825127337
0:00:45.152801,0:00:47.767402,SPEAKER_00,45.15280135823429,47.76740237691002,2.614601018675728
0:00:48.344652,0:00:52.368421,SPEAKER_00,48.3446519524618,52.36842105263158,4.02376910016978
0:00:53.183362,0:01:05.016978,SPEAKER_01,53.183361629881155,65.01697792869271,11.833616298811556
0:01:06.035654,0:01:10.059423,SPEAKER_01,66.03565365025466,70.05942275042446,4.023769100169801
0:01:10.857385,0:01:17.937182,SPEAKER_00,70.85738539898134,77.93718166383701,7.079796264855673
0:01:18.429542,0:01:25.339559,SPEAKER_00,78.42954159592529,85.33955857385399,6.910016977928706
0:01:27.122241,0:01:51.740238,SPEAKER_01,87.12224108658745,111.74023769100171,24.61799660441426
0:01:53.353141,0:02:04.235993,SPEAKER_00,113.35314091680814,124.23599320882852,10.882852292020374
